600	0.000704867	0.00601315	0.009847	2.72424e-05	0.0840038	0.0019826	0.948092	0.948544
650	0.000566194	0.00523842	0.00873098	2.13649e-05	0.0807788	0.00182882	0.947874	0.94858
700	0.000372818	0.00371624	0.00780287	1.71906e-05	0.0777789	0.00170807	0.947988	0.94805
750	0.000555928	0.00592718	0.0070456	1.38328e-05	0.0751187	0.00157242	0.948188	0.947982
800	0.000432111	0.00491744	0.00639344	1.13397e-05	0.0727575	0.00146854	0.948244	0.948662
850	0.000268951	0.00325699	0.00582864	9.4968e-06	0.0705847	0.00139272	0.948318	0.948684
900	0.000367698	0.00471159	0.00536039	7.9757e-06	0.0686868	0.00130955	0.948732	0.948632
950	0.000229035	0.00310195	0.00493221	6.77847e-06	0.0667998	0.00124336	0.948732	0.948768
1000	0.0001758	0.0025065	0.00455733	5.79132e-06	0.0649768	0.00117726	0.949138	0.949402
1500	0.000116827	0.00250103	0.00248394	1.70701e-06	0.0531759	0.000782318	0.94927	0.949342
2000	0.00016527	0.00470547	0.00161965	7.12209e-07	0.0461138	0.000577333	0.948944	0.949144
2500	0.000113498	0.00404334	0.00115666	3.64798e-07	0.0412059	0.000462974	0.950236	0.95013
3000	7.71541e-05	0.00331006	0.000880638	2.11936e-07	0.0377811	0.000390084	0.949824	0.949948
